producer_muni,producer_industry,producer_cell,flow,value
101,s77,r101_s77,Producer product taxes paid,89895289.5243139
101,s88,r101_s88,Producer product taxes paid,294200004.5801205
101,s99,r101_s99,Producer product taxes paid,736894904.5092459
101,s01,r101_s01,Producer sales to capital accumulation cell,16704154.472856523
101,s02,r101_s02,Producer sales to capital accumulation cell,1586406901.858631
101,s03,r101_s03,Producer sales to capital accumulation cell,170964697.0282466
101,s04,r101_s04,Producer sales to capital accumulation cell,2041375164.6634843
101,s05,r101_s05,Producer sales to capital accumulation cell,282480870.8383414
101,s06,r101_s06,Producer sales to capital accumulation cell,229151331.9568668
101,s07,r101_s07,Producer sales to capital accumulation cell,12908551.453367297
101,s08,r101_s08,Producer sales to capital accumulation cell,1140894144.5481646
101,s09,r101_s09,Producer sales to capital accumulation cell,2214301354.904377
101,s10,r101_s10,Producer sales to capital accumulation cell,22148700.69997104
101,s11,r101_s11,Producer sales to capital accumulation cell,411447379.49785393
101,s12,r101_s12,Producer sales to capital accumulation cell,6703607927.244937
101,s13,r101_s13,Producer sales to capital accumulation cell,10974278549.95936
101,s14,r101_s14,Producer sales to capital accumulation cell,87993627.88921802
101,s15,r101_s15,Producer sales to capital accumulation cell,3218964306.447844
101,s16,r101_s16,Producer sales to capital accumulation cell,2101788444.3906064
101,s17,r101_s17,Producer sales to capital accumulation cell,4064677965.299948
101,s18,r101_s18,Producer sales to capital accumulation cell,460356415.6975017
101,s19,r101_s19,Producer sales to capital accumulation cell,57374550.66980566
101,s20,r101_s20,Producer sales to capital accumulation cell,1852032346.3281767
101,s21,r101_s21,Producer sales to capital accumulation cell,104744838.1887518
101,s24,r101_s24,Producer sales to capital accumulation cell,287497597.04751414
101,s26,r101_s26,Producer sales to capital accumulation cell,4441418776.727775
101,s27,r101_s27,Producer sales to capital accumulation cell,659288707.6130395
101,s77,r101_s77,Producer sales to capital accumulation cell,1116910.3860350768
101,s88,r101_s88,Producer sales to capital accumulation cell,0.0
101,s99,r101_s99,Producer sales to capital accumulation cell,9155602.276769305
101,s01,r101_s01,Producer sales to government,617357.0
101,s02,r101_s02,Producer sales to government,2618038272.0
101,s03,r101_s03,Producer sales to government,65361192.0
101,s04,r101_s04,Producer sales to government,2978590208.0
101,s05,r101_s05,Producer sales to government,110076784.0
101,s06,r101_s06,Producer sales to government,124375880.0
101,s07,r101_s07,Producer sales to government,59128212.0
101,s08,r101_s08,Producer sales to government,2087762176.0
101,s09,r101_s09,Producer sales to government,2776640.0
101,s10,r101_s10,Producer sales to government,0.0
101,s11,r101_s11,Producer sales to government,81907984.0
101,s12,r101_s12,Producer sales to government,411382112.0
101,s13,r101_s13,Producer sales to government,745243392.0
101,s14,r101_s14,Producer sales to government,1508758271.9999998
101,s15,r101_s15,Producer sales to government,106875504.0
101,s16,r101_s16,Producer sales to government,115012184.0
101,s17,r101_s17,Producer sales to government,288546144.00000006
101,s18,r101_s18,Producer sales to government,12125444096.0
101,s19,r101_s19,Producer sales to government,7557740.5
101,s20,r101_s20,Producer sales to government,67926584.00000001
101,s21,r101_s21,Producer sales to government,89582215.99999999
101,s24,r101_s24,Producer sales to government,27029671936.0
101,s26,r101_s26,Producer sales to government,16215793664.0
101,s27,r101_s27,Producer sales to government,34820042752.0
101,s77,r101_s77,Producer sales to government,0.0
101,s88,r101_s88,Producer sales to government,0.0
101,s99,r101_s99,Producer sales to government,0.0
147,s01,r147_s01,Producer dividends paid,7743617.206998655
147,s02,r147_s02,Producer dividends paid,9321573.47036698
147,s03,r147_s03,Producer dividends paid,26721951.396152027
147,s04,r147_s04,Producer dividends paid,14050431.040293906
147,s05,r147_s05,Producer dividends paid,2378246.7523121443
147,s06,r147_s06,Producer dividends paid,700550.5525337631
147,s07,r147_s07,Producer dividends paid,0.0
147,s08,r147_s08,Producer dividends paid,0.0
147,s09,r147_s09,Producer dividends paid,30980524.47948626
147,s10,r147_s10,Producer dividends paid,4270561.193195955
147,s11,r147_s11,Producer dividends paid,26650388.913583945
147,s12,r147_s12,Producer dividends paid,14390744.787040235
147,s13,r147_s13,Producer dividends paid,13295469.12897567
147,s14,r147_s14,Producer dividends paid,2452011.0218356694
147,s15,r147_s15,Producer dividends paid,35589892.18783964
147,s16,r147_s16,Producer dividends paid,14433053.307312982
147,s17,r147_s17,Producer dividends paid,10622331.548643513
147,s18,r147_s18,Producer dividends paid,0.0
147,s19,r147_s19,Producer dividends paid,0.0
147,s20,r147_s20,Producer dividends paid,629202.3816489142
147,s21,r147_s21,Producer dividends paid,3710520.915858286
147,s24,r147_s24,Producer dividends paid,4358448.086618018
147,s26,r147_s26,Producer dividends paid,34997232.11609632
147,s27,r147_s27,Producer dividends paid,8945277.275832564
147,s77,r147_s77,Producer dividends paid,0.0
147,s88,r147_s88,Producer dividends paid,5.132734792799026e-09
147,s99,r147_s99,Producer dividends paid,0.0
147,s01,r147_s01,Producer exports,75025616.0
147,s02,r147_s02,Producer exports,61819912.00000001
147,s03,r147_s03,Producer exports,72569240.0
147,s04,r147_s04,Producer exports,354078592.0
147,s05,r147_s05,Producer exports,829739.4566639024
147,s06,r147_s06,Producer exports,60014300.0
147,s07,r147_s07,Producer exports,0.0
147,s08,r147_s08,Producer exports,139528496.0
147,s09,r147_s09,Producer exports,368566880.0
147,s10,r147_s10,Producer exports,323724864.0
147,s11,r147_s11,Producer exports,121521080.0
147,s12,r147_s12,Producer exports,208271280.0
147,s13,r147_s13,Producer exports,503973152.0
147,s14,r147_s14,Producer exports,19849204.0
147,s15,r147_s15,Producer exports,1406628224.0
147,s16,r147_s16,Producer exports,583840383.9999999
147,s17,r147_s17,Producer exports,163827648.00000003
147,s18,r147_s18,Producer exports,23951312.0
147,s19,r147_s19,Producer exports,4558648.000000001
147,s20,r147_s20,Producer exports,14891163.000000002
147,s21,r147_s21,Producer exports,135346497.33021718
147,s24,r147_s24,Producer exports,12924055.000000002
147,s26,r147_s26,Producer exports,21271332.0
147,s27,r147_s27,Producer exports,14485867.0
147,s77,r147_s77,Producer exports,0.0
147,s88,r147_s88,Producer exports,0.0
147,s99,r147_s99,Producer exports,0.0
147,s01,r147_s01,Producer imports,220398896.0000001
147,s02,r147_s02,Producer imports,523862624.0
147,s03,r147_s03,Producer imports,543170240.0
147,s04,r147_s04,Producer imports,256411567.99999988
147,s05,r147_s05,Producer imports,2705276.987868174
147,s06,r147_s06,Producer imports,209042144.0000001
147,s07,r147_s07,Producer imports,0.0
147,s08,r147_s08,Producer imports,176572735.9999999
147,s09,r147_s09,Producer imports,206257360.0
147,s10,r147_s10,Producer imports,154539024.0
147,s11,r147_s11,Producer imports,454529312.0000002
147,s12,r147_s12,Producer imports,299184799.9999998
147,s13,r147_s13,Producer imports,278730400.0000003
147,s14,r147_s14,Producer imports,76671480.0000001
147,s15,r147_s15,Producer imports,577682560.0000005
147,s16,r147_s16,Producer imports,164801872.00000006
147,s17,r147_s17,Producer imports,171942207.99999988
147,s18,r147_s18,Producer imports,79844232.00000007
147,s19,r147_s19,Producer imports,2773635.75
147,s20,r147_s20,Producer imports,17321273.999999996
147,s21,r147_s21,Producer imports,121033247.11437494
147,s24,r147_s24,Producer imports,212343776.00000048
147,s26,r147_s26,Producer imports,210099583.99999967
147,s27,r147_s27,Producer imports,114442655.99999996
147,s77,r147_s77,Producer imports,632909.3750000031
147,s88,r147_s88,Producer imports,1269198.0000000058
147,s99,r147_s99,Producer imports,3644468.50000001
147,s01,r147_s01,Producer product taxes paid,36470709.48394497
147,s02,r147_s02,Producer product taxes paid,43806890.02873915
147,s03,r147_s03,Producer product taxes paid,5680485.5737216165
147,s04,r147_s04,Producer product taxes paid,51543915.848463416
147,s05,r147_s05,Producer product taxes paid,1532672.4142826577
147,s06,r147_s06,Producer product taxes paid,2520088.686039672
147,s07,r147_s07,Producer product taxes paid,0.0
147,s08,r147_s08,Producer product taxes paid,17679090.944545057
147,s09,r147_s09,Producer product taxes paid,5532749.50655901
147,s10,r147_s10,Producer product taxes paid,6511054.277170492
147,s11,r147_s11,Producer product taxes paid,3159378.6407156237
147,s12,r147_s12,Producer product taxes paid,15372908.315552467
147,s13,r147_s13,Producer product taxes paid,19438702.708319243
147,s14,r147_s14,Producer product taxes paid,10831618.751089863
147,s15,r147_s15,Producer product taxes paid,6787296.872062809
147,s16,r147_s16,Producer product taxes paid,6432776.2408819385
147,s17,r147_s17,Producer product taxes paid,113988020.58867474
147,s18,r147_s18,Producer product taxes paid,51249973.178138696
147,s19,r147_s19,Producer product taxes paid,464048.3729874853
147,s20,r147_s20,Producer product taxes paid,654228.5269623466
147,s21,r147_s21,Producer product taxes paid,206249.54712223227
147,s24,r147_s24,Producer product taxes paid,172034422.08929747
147,s26,r147_s26,Producer product taxes paid,219563351.2157597
147,s27,r147_s27,Producer product taxes paid,107466757.73299454
147,s77,r147_s77,Producer product taxes paid,19537171.23420694
147,s88,r147_s88,Producer product taxes paid,80222778.41382185
147,s99,r147_s99,Producer product taxes paid,112500478.91404292
147,s01,r147_s01,Producer sales to capital accumulation cell,1466176.849566621
147,s02,r147_s02,Producer sales to capital accumulation cell,137743535.867325
147,s03,r147_s03,Producer sales to capital accumulation cell,24182054.929178383
147,s04,r147_s04,Producer sales to capital accumulation cell,59110049.17971176
147,s05,r147_s05,Producer sales to capital accumulation cell,826448.3866315733
147,s06,r147_s06,Producer sales to capital accumulation cell,2405039.141414038
147,s07,r147_s07,Producer sales to capital accumulation cell,0.0
147,s08,r147_s08,Producer sales to capital accumulation cell,76234493.79224984
147,s09,r147_s09,Producer sales to capital accumulation cell,286935498.18041754
147,s10,r147_s10,Producer sales to capital accumulation cell,2458170.1254018582
147,s11,r147_s11,Producer sales to capital accumulation cell,36382863.864404686
147,s12,r147_s12,Producer sales to capital accumulation cell,665403115.9450873
147,s13,r147_s13,Producer sales to capital accumulation cell,320548144.33051765
147,s14,r147_s14,Producer sales to capital accumulation cell,5594677.392879823
147,s15,r147_s15,Producer sales to capital accumulation cell,239777378.8174832
147,s16,r147_s16,Producer sales to capital accumulation cell,76606380.3323655
147,s17,r147_s17,Producer sales to capital accumulation cell,681705374.0813717
147,s18,r147_s18,Producer sales to capital accumulation cell,58232009.571187854
147,s19,r147_s19,Producer sales to capital accumulation cell,1866914.2817160173
147,s20,r147_s20,Producer sales to capital accumulation cell,48156378.62350233
147,s21,r147_s21,Producer sales to capital accumulation cell,107518.22116092884
147,s24,r147_s24,Producer sales to capital accumulation cell,21212617.86663592
147,s26,r147_s26,Producer sales to capital accumulation cell,1231520711.885846
147,s27,r147_s27,Producer sales to capital accumulation cell,35426261.5129
147,s77,r147_s77,Producer sales to capital accumulation cell,242740.98090151785
147,s88,r147_s88,Producer sales to capital accumulation cell,0.0
147,s99,r147_s99,Producer sales to capital accumulation cell,1397770.1015321908
147,s01,r147_s01,Producer sales to government,54187.38671874999
147,s02,r147_s02,Producer sales to government,344523296.0
147,s03,r147_s03,Producer sales to government,9292400.0
147,s04,r147_s04,Producer sales to government,469251168.0
147,s05,r147_s05,Producer sales to government,247431.40625
147,s06,r147_s06,Producer sales to government,4847858.999999999
147,s07,r147_s07,Producer sales to government,0.0
147,s08,r147_s08,Producer sales to government,46012504.0
147,s09,r147_s09,Producer sales to government,553385.4375000001
147,s10,r147_s10,Producer sales to government,0.0
147,s11,r147_s11,Producer sales to government,9845387.000000002
147,s12,r147_s12,Producer sales to government,47098444.0
147,s13,r147_s13,Producer sales to government,9558719.0
147,s14,r147_s14,Producer sales to government,196137248.00000003
147,s15,r147_s15,Producer sales to government,7549744.0
147,s16,r147_s16,Producer sales to government,4277382.5
147,s17,r147_s17,Producer sales to government,12108812.0
147,s18,r147_s18,Producer sales to government,750061760.0
147,s19,r147_s19,Producer sales to government,1639288.75
147,s20,r147_s20,Producer sales to government,1766220.875
147,s21,r147_s21,Producer sales to government,70275.5546875
147,s24,r147_s24,Producer sales to government,3246913280.0000005
147,s26,r147_s26,Producer sales to government,3885450496.000001
147,s27,r147_s27,Producer sales to government,1698102400.0000002
147,s77,r147_s77,Producer sales to government,0.0
147,s88,r147_s88,Producer sales to government,0.0
147,s99,r147_s99,Producer sales to government,0.0
151,s01,r151_s01,Producer dividends paid,0.0
151,s02,r151_s02,Producer dividends paid,106699.88392117432
151,s03,r151_s03,Producer dividends paid,15608826.640884375
151,s04,r151_s04,Producer dividends paid,606147.9310875104
151,s05,r151_s05,Producer dividends paid,13331461.426494516
151,s06,r151_s06,Producer dividends paid,1157374.768614885
151,s07,r151_s07,Producer dividends paid,0.0
151,s08,r151_s08,Producer dividends paid,229891329.7582254
151,s09,r151_s09,Producer dividends paid,10070453.089052305
151,s10,r151_s10,Producer dividends paid,6323729.377135313
151,s11,r151_s11,Producer dividends paid,5506037.143278286
151,s12,r151_s12,Producer dividends paid,33488575.59118222
151,s13,r151_s13,Producer dividends paid,59821636.70624538
151,s14,r151_s14,Producer dividends paid,3520814.376660344
151,s15,r151_s15,Producer dividends paid,435799543.709457
151,s16,r151_s16,Producer dividends paid,188328186.478136
151,s17,r151_s17,Producer dividends paid,213786171.01468608
151,s18,r151_s18,Producer dividends paid,0.0
151,s19,r151_s19,Producer dividends paid,306402.47797804634
151,s20,r151_s20,Producer dividends paid,4617236.513319949
151,s21,r151_s21,Producer dividends paid,931234.8311026
151,s24,r151_s24,Producer dividends paid,6889256.962627884
151,s26,r151_s26,Producer dividends paid,4090639.968252931
151,s27,r151_s27,Producer dividends paid,18065068.61808037
151,s77,r151_s77,Producer dividends paid,0.0
151,s88,r151_s88,Producer dividends paid,1.0265469594369852e-08
151,s99,r151_s99,Producer dividends paid,0.0
151,s01,r151_s01,Producer exports,28554148.000000004
151,s02,r151_s02,Producer exports,13587271.000000002
151,s03,r151_s03,Producer exports,33173900.0
151,s04,r151_s04,Producer exports,436708320.0
151,s05,r151_s05,Producer exports,4824691.909373094
151,s06,r151_s06,Producer exports,32522324.0
151,s07,r151_s07,Producer exports,0.0
151,s08,r151_s08,Producer exports,460061856.0
151,s09,r151_s09,Producer exports,484647520.0
151,s10,r151_s10,Producer exports,604352128.0
151,s11,r151_s11,Producer exports,48888272.0
151,s12,r151_s12,Producer exports,724726464.0
151,s13,r151_s13,Producer exports,2103088896.0
151,s14,r151_s14,Producer exports,19346352.0
151,s15,r151_s15,Producer exports,19288180736.0
151,s16,r151_s16,Producer exports,7497933824.0
151,s17,r151_s17,Producer exports,250082064.0
151,s18,r151_s18,Producer exports,5844062.5
151,s19,r151_s19,Producer exports,12846323.0
151,s20,r151_s20,Producer exports,98430960.0
151,s21,r151_s21,Producer exports,33070430.666964475
151,s24,r151_s24,Producer exports,9357364.000000002
151,s26,r151_s26,Producer exports,2833217.2500000005
151,s27,r151_s27,Producer exports,9171919.999999998
151,s77,r151_s77,Producer exports,0.0
151,s88,r151_s88,Producer exports,0.0
151,s99,r151_s99,Producer exports,0.0
151,s01,r151_s01,Producer imports,76840632.0
151,s02,r151_s02,Producer imports,35295691.99999999
151,s03,r151_s03,Producer imports,236173328.0
151,s04,r151_s04,Producer imports,422138207.9999998
151,s05,r151_s05,Producer imports,27383130.560679525
151,s06,r151_s06,Producer imports,45683907.99999999
