consumer_muni,consumer_industry,consumer_cell,flow,value
840,s08,r840_s08,Surplus of owner-occupied housing to consumers,3571104.0
840,s09,r840_s09,Surplus of owner-occupied housing to consumers,3151836.3
840,s10,r840_s10,Surplus of owner-occupied housing to consumers,3535100.5
840,s11,r840_s11,Surplus of owner-occupied housing to consumers,3504682.8
840,s12,r840_s12,Surplus of owner-occupied housing to consumers,28844756.0
840,s13,r840_s13,Surplus of owner-occupied housing to consumers,19431894.0
840,s14,r840_s14,Surplus of owner-occupied housing to consumers,6477705.0
840,s15,r840_s15,Surplus of owner-occupied housing to consumers,42645056.0
840,s16,r840_s16,Surplus of owner-occupied housing to consumers,20558226.0
840,s17,r840_s17,Surplus of owner-occupied housing to consumers,14646627.0
