consumer_muni,consumer_industry,consumer_cell,flow,value
846,s01,r846_s01,Consumer pension investment income,2297717.5321168085
846,s02,r846_s02,Consumer pension investment income,2786544.452177308
846,s03,r846_s03,Consumer pension investment income,6594216.65928683
846,s04,r846_s04,Consumer pension investment income,40555348.200599134
846,s05,r846_s05,Consumer pension investment income,10030172.237615043
846,s06,r846_s06,Consumer pension investment income,1190902.3318263127
846,s07,r846_s07,Consumer pension investment income,614354.7508398751
846,s08,r846_s08,Consumer pension investment income,2771613.3994827173
846,s09,r846_s09,Consumer pension investment income,2807100.5726424563
846,s10,r846_s10,Consumer pension investment income,6349256.236267023
846,s11,r846_s11,Consumer pension investment income,6155700.315711254
846,s12,r846_s12,Consumer pension investment income,30732666.490791872
846,s13,r846_s13,Consumer pension investment income,21479632.182660986
846,s14,r846_s14,Consumer pension investment income,11599295.744810674
846,s15,r846_s15,Consumer pension investment income,102407322.00094898
846,s16,r846_s16,Consumer pension investment income,39386404.737163365
846,s17,r846_s17,Consumer pension investment income,24269185.25688392
846,s18,r846_s18,Consumer pension investment income,7278936.528139651
846,s19,r846_s19,Consumer pension investment income,19198893.29543231
846,s20,r846_s20,Consumer pension investment income,4945616.559392189
846,s21,r846_s21,Consumer pension investment income,569640.3886881972
846,s22,r846_s22,Consumer pension investment income,17305246.562855303
846,s23,r846_s23,Consumer pension investment income,20803119.413568515
846,s24,r846_s24,Consumer pension investment income,81071112.14012612
846,s25,r846_s25,Consumer pension investment income,150798.43258553077
846,s26,r846_s26,Consumer pension investment income,44532771.84174169
846,s27,r846_s27,Consumer pension investment income,22140058.709618192
846,s28,r846_s28,Consumer pension investment income,1389543.0695946706
846,s01,r846_s01,Consumer product taxes paid (predicted),7182095.8933135
846,s02,r846_s02,Consumer product taxes paid (predicted),1976056.208683383
846,s03,r846_s03,Consumer product taxes paid (predicted),8197137.694333887
846,s04,r846_s04,Consumer product taxes paid (predicted),101493700.6024972
846,s05,r846_s05,Consumer product taxes paid (predicted),13343726.32698694
846,s06,r846_s06,Consumer product taxes paid (predicted),0.0
846,s07,r846_s07,Consumer product taxes paid (predicted),0.0
846,s08,r846_s08,Consumer product taxes paid (predicted),0.0
846,s09,r846_s09,Consumer product taxes paid (predicted),0.0
846,s10,r846_s10,Consumer product taxes paid (predicted),0.0
846,s11,r846_s11,Consumer product taxes paid (predicted),10095212.41117063
846,s12,r846_s12,Consumer product taxes paid (predicted),70511620.7823441
846,s13,r846_s13,Consumer product taxes paid (predicted),66202710.7568339
846,s14,r846_s14,Consumer product taxes paid (predicted),23340250.89060303
846,s15,r846_s15,Consumer product taxes paid (predicted),119668937.9915278
846,s16,r846_s16,Consumer product taxes paid (predicted),67187048.42520127
846,s17,r846_s17,Consumer product taxes paid (predicted),39453157.11015023
846,s18,r846_s18,Consumer product taxes paid (predicted),11438506.12800738
846,s19,r846_s19,Consumer product taxes paid (predicted),5235415.883027188
846,s20,r846_s20,Consumer product taxes paid (predicted),0.0
846,s21,r846_s21,Consumer product taxes paid (predicted),0.0
846,s22,r846_s22,Consumer product taxes paid (predicted),140709198.1127013
846,s23,r846_s23,Consumer product taxes paid (predicted),318647191.8218849
846,s24,r846_s24,Consumer product taxes paid (predicted),180716990.1331094
846,s25,r846_s25,Consumer product taxes paid (predicted),0.0
846,s26,r846_s26,Consumer product taxes paid (predicted),81729079.65096654
846,s27,r846_s27,Consumer product taxes paid (predicted),51380058.00300737
