prod_sector,value,var_name,prod_muni_name
88,0.0,Producer sales to capital accumulation cell,København
99,9155602.276769305,Producer sales to capital accumulation cell,København
01,617357.0,Producer sales to government,København
02,2618038272.0,Producer sales to government,København
03,65361192.0,Producer sales to government,København
04,2978590208.0,Producer sales to government,København
05,110076784.0,Producer sales to government,København
06,124375880.0,Producer sales to government,København
07,59128212.0,Producer sales to government,København
08,2087762176.0,Producer sales to government,København
09,2776640.0,Producer sales to government,København
10,0.0,Producer sales to government,København
11,81907984.0,Producer sales to government,København
12,411382112.0,Producer sales to government,København
13,745243392.0,Producer sales to government,København
14,1508758271.9999998,Producer sales to government,København
15,106875504.0,Producer sales to government,København
16,115012184.0,Producer sales to government,København
17,288546144.00000006,Producer sales to government,København
18,12125444096.0,Producer sales to government,København
19,7557740.5,Producer sales to government,København
20,67926584.00000001,Producer sales to government,København
21,89582215.99999999,Producer sales to government,København
24,27029671936.0,Producer sales to government,København
26,16215793664.0,Producer sales to government,København
27,34820042752.0,Producer sales to government,København
77,0.0,Producer sales to government,København
88,0.0,Producer sales to government,København
99,0.0,Producer sales to government,København
01,7743617.206998655,Producer dividends paid,Frederiksberg
02,9321573.47036698,Producer dividends paid,Frederiksberg
03,26721951.396152027,Producer dividends paid,Frederiksberg
04,14050431.040293906,Producer dividends paid,Frederiksberg
05,2378246.7523121443,Producer dividends paid,Frederiksberg
06,700550.5525337631,Producer dividends paid,Frederiksberg
07,0.0,Producer dividends paid,Frederiksberg
08,0.0,Producer dividends paid,Frederiksberg
09,30980524.47948626,Producer dividends paid,Frederiksberg
10,4270561.193195955,Producer dividends paid,Frederiksberg
11,26650388.913583945,Producer dividends paid,Frederiksberg
12,14390744.787040235,Producer dividends paid,Frederiksberg
13,13295469.12897567,Producer dividends paid,Frederiksberg
14,2452011.0218356694,Producer dividends paid,Frederiksberg
15,35589892.18783964,Producer dividends paid,Frederiksberg
16,14433053.307312982,Producer dividends paid,Frederiksberg
17,10622331.548643513,Producer dividends paid,Frederiksberg
18,0.0,Producer dividends paid,Frederiksberg
19,0.0,Producer dividends paid,Frederiksberg
20,629202.3816489142,Producer dividends paid,Frederiksberg
21,3710520.915858286,Producer dividends paid,Frederiksberg
24,4358448.086618018,Producer dividends paid,Frederiksberg
26,34997232.11609632,Producer dividends paid,Frederiksberg
27,8945277.275832564,Producer dividends paid,Frederiksberg
77,0.0,Producer dividends paid,Frederiksberg
88,5.132734792799026e-09,Producer dividends paid,Frederiksberg
99,0.0,Producer dividends paid,Frederiksberg
01,75025616.0,Producer exports,Frederiksberg
02,61819912.00000001,Producer exports,Frederiksberg
03,72569240.0,Producer exports,Frederiksberg
04,354078592.0,Producer exports,Frederiksberg
05,829739.4566639024,Producer exports,Frederiksberg
06,60014300.0,Producer exports,Frederiksberg
07,0.0,Producer exports,Frederiksberg
08,139528496.0,Producer exports,Frederiksberg
09,368566880.0,Producer exports,Frederiksberg
10,323724864.0,Producer exports,Frederiksberg
11,121521080.0,Producer exports,Frederiksberg
12,208271280.0,Producer exports,Frederiksberg
13,503973152.0,Producer exports,Frederiksberg
14,19849204.0,Producer exports,Frederiksberg
15,1406628224.0,Producer exports,Frederiksberg
16,583840383.9999999,Producer exports,Frederiksberg
17,163827648.00000003,Producer exports,Frederiksberg
18,23951312.0,Producer exports,Frederiksberg
19,4558648.000000001,Producer exports,Frederiksberg
20,14891163.000000002,Producer exports,Frederiksberg
21,135346497.33021718,Producer exports,Frederiksberg
24,12924055.000000002,Producer exports,Frederiksberg
26,21271332.0,Producer exports,Frederiksberg
27,14485867.0,Producer exports,Frederiksberg
77,0.0,Producer exports,Frederiksberg
88,0.0,Producer exports,Frederiksberg
99,0.0,Producer exports,Frederiksberg
01,220398896.0000001,Producer imports,Frederiksberg
02,523862624.0,Producer imports,Frederiksberg
03,543170240.0,Producer imports,Frederiksberg
04,256411567.99999988,Producer imports,Frederiksberg
05,2705276.987868174,Producer imports,Frederiksberg
06,209042144.0000001,Producer imports,Frederiksberg
07,0.0,Producer imports,Frederiksberg
08,176572735.9999999,Producer imports,Frederiksberg
09,206257360.0,Producer imports,Frederiksberg
10,154539024.0,Producer imports,Frederiksberg
11,454529312.0000002,Producer imports,Frederiksberg
12,299184799.9999998,Producer imports,Frederiksberg
13,278730400.0000003,Producer imports,Frederiksberg
14,76671480.0000001,Producer imports,Frederiksberg
15,577682560.0000005,Producer imports,Frederiksberg
16,164801872.00000006,Producer imports,Frederiksberg
