value,var_name,cust_sector,cust_muni_name
1393435.24385011,Consumer interest received,10,København
4737150.924673685,Consumer interest received,11,København
7172192.358563544,Consumer interest received,12,København
34832771.29021143,Consumer interest received,13,København
9296740.628709052,Consumer interest received,14,København
13463006.337719364,Consumer interest received,15,København
11416416.078091422,Consumer interest received,16,København
26926406.742463745,Consumer interest received,17,København
13656780.488629907,Consumer interest received,18,København
1880119.8892360488,Consumer interest received,19,København
795923.5998237142,Consumer interest received,20,København
2304541.9446691456,Consumer interest received,21,København
38493414.98025589,Consumer interest received,22,København
134319134.20756674,Consumer interest received,23,København
32333974.875988603,Consumer interest received,24,København
2051925.9904506763,Consumer interest received,25,København
29530814.70198942,Consumer interest received,26,København
23695397.395992428,Consumer interest received,27,København
2503066.264959548,Consumer interest received,28,København
14655846.259948945,Consumer natural resource rents paid,01,København
8453839.816710606,Consumer natural resource rents paid,02,København
6302710.491204672,Consumer natural resource rents paid,03,København
27825361.345655426,Consumer natural resource rents paid,04,København
3697277.1898792074,Consumer natural resource rents paid,05,København
3688948.283655848,Consumer natural resource rents paid,06,København
2210188.842363017,Consumer natural resource rents paid,07,København
5805247.637682199,Consumer natural resource rents paid,08,København
6158847.565528462,Consumer natural resource rents paid,09,København
1003254.6132685837,Consumer natural resource rents paid,10,København
9136810.127026927,Consumer natural resource rents paid,11,København
11018385.76021546,Consumer natural resource rents paid,12,København
28604492.6641851,Consumer natural resource rents paid,13,København
10892694.99357188,Consumer natural resource rents paid,14,København
11618067.008298082,Consumer natural resource rents paid,15,København
12295737.105563167,Consumer natural resource rents paid,16,København
12914347.68597163,Consumer natural resource rents paid,17,København
11417416.085644174,Consumer natural resource rents paid,18,København
673127.0575062322,Consumer natural resource rents paid,19,København
1215263.1353178,Consumer natural resource rents paid,20,København
1590821.0886621266,Consumer natural resource rents paid,21,København
36099751.09190641,Consumer natural resource rents paid,22,København
41175840.84839128,Consumer natural resource rents paid,23,København
39778856.1227477,Consumer natural resource rents paid,24,København
7121214.820973002,Consumer natural resource rents paid,25,København
26783490.894443735,Consumer natural resource rents paid,26,København
18809698.945526354,Consumer natural resource rents paid,27,København
18222132.470133714,Consumer natural resource rents paid,28,København
14655846.259948945,Consumer natural resource rents received,01,København
8453839.816710606,Consumer natural resource rents received,02,København
6302710.491204672,Consumer natural resource rents received,03,København
27825361.345655423,Consumer natural resource rents received,04,København
3697277.189879208,Consumer natural resource rents received,05,København
3688948.283655848,Consumer natural resource rents received,06,København
2210188.842363017,Consumer natural resource rents received,07,København
5805247.637682199,Consumer natural resource rents received,08,København
6158847.565528462,Consumer natural resource rents received,09,København
1003254.6132685835,Consumer natural resource rents received,10,København
9136810.127026929,Consumer natural resource rents received,11,København
11018385.76021546,Consumer natural resource rents received,12,København
28604492.6641851,Consumer natural resource rents received,13,København
10892694.99357188,Consumer natural resource rents received,14,København
11618067.008298082,Consumer natural resource rents received,15,København
12295737.105563167,Consumer natural resource rents received,16,København
12914347.68597163,Consumer natural resource rents received,17,København
11417416.085644174,Consumer natural resource rents received,18,København
673127.0575062322,Consumer natural resource rents received,19,København
1215263.1353178,Consumer natural resource rents received,20,København
1590821.0886621266,Consumer natural resource rents received,21,København
36099751.09190641,Consumer natural resource rents received,22,København
41175840.84839128,Consumer natural resource rents received,23,København
39778856.1227477,Consumer natural resource rents received,24,København
7121214.820973002,Consumer natural resource rents received,25,København
26783490.89444373,Consumer natural resource rents received,26,København
18809698.945526358,Consumer natural resource rents received,27,København
18222132.470133714,Consumer natural resource rents received,28,København
1342172066.4419758,Consumer non-product taxes paid,01,København
1152100550.183576,Consumer non-product taxes paid,02,København
650723359.9547724,Consumer non-product taxes paid,03,København
5164574530.905535,Consumer non-product taxes paid,04,København
697701025.7950627,Consumer non-product taxes paid,05,København
523333674.46802425,Consumer non-product taxes paid,06,København
548544815.9760245,Consumer non-product taxes paid,07,København
1602498253.5941465,Consumer non-product taxes paid,08,København
1526281043.7597656,Consumer non-product taxes paid,09,København
289745426.76424783,Consumer non-product taxes paid,10,København
1258935608.8469667,Consumer non-product taxes paid,11,København
1813094866.453938,Consumer non-product taxes paid,12,København
7205302094.386039,Consumer non-product taxes paid,13,København
1605583332.744947,Consumer non-product taxes paid,14,København
2966841150.2056637,Consumer non-product taxes paid,15,København
3206218178.542411,Consumer non-product taxes paid,16,København
4453247136.805866,Consumer non-product taxes paid,17,København
2129535520.1065161,Consumer non-product taxes paid,18,København
286918169.24185115,Consumer non-product taxes paid,19,København
335168804.9888174,Consumer non-product taxes paid,20,København
538757660.7665355,Consumer non-product taxes paid,21,København
1873655276.9112132,Consumer non-product taxes paid,22,København
4021837169.9003716,Consumer non-product taxes paid,23,København
6715534929.298068,Consumer non-product taxes paid,24,København
139539525.483272,Consumer non-product taxes paid,25,København
4813124987.965127,Consumer non-product taxes paid,26,København
4076912447.4522195,Consumer non-product taxes paid,27,København
852243888.6027398,Consumer non-product taxes paid,28,København
190845347.24495056,Consumer other transfers paid,01,København
110084123.88867693,Consumer other transfers paid,02,København
82072570.28656116,Consumer other transfers paid,03,København
362336002.57811826,Consumer other transfers paid,04,København
48145165.870890245,Consumer other transfers paid,05,København
48036708.60597525,Consumer other transfers paid,06,København
28780614.207887143,Consumer other transfers paid,07,København
75594713.64573397,Consumer other transfers paid,08,København
80199217.5289399,Consumer other transfers paid,09,København
13064170.546574436,Consumer other transfers paid,10,København
118977619.61169995,Consumer other transfers paid,11,København
143479101.73112884,Consumer other transfers paid,12,København
372481686.72332543,Consumer other transfers paid,13,København
141842383.00604674,Consumer other transfers paid,14,København
151288024.80501452,Consumer other transfers paid,15,København
160112502.26855958,Consumer other transfers paid,16,København
168167919.12634316,Consumer other transfers paid,17,København
148675190.6956967,Consumer other transfers paid,18,København
8765318.955399819,Consumer other transfers paid,19,København
15824900.92622786,Consumer other transfers paid,20,København
20715337.598756783,Consumer other transfers paid,21,København
470083365.3952455,Consumer other transfers paid,22,København
536183138.4851083,Consumer other transfers paid,23,København
517991897.2334978,Consumer other transfers paid,24,København
92730961.50229053,Consumer other transfers paid,25,København
348768984.7124185,Consumer other transfers paid,26,København
244935943.18350717,Consumer other transfers paid,27,København
237284776.13131616,Consumer other transfers paid,28,København
166975308.27537453,Consumer other transfers received,01,København
96315319.12037347,Consumer other transfers received,02,København
71807318.97519007,Consumer other transfers received,03,København
317016718.5271994,Consumer other transfers received,04,København
42123394.82891197,Consumer other transfers received,05,København
42028502.8888919,Consumer other transfers received,06,København
25180870.26532865,Consumer other transfers received,07,København
66139682.19399137,Consumer other transfers received,08,København
70168276.37484342,Consumer other transfers received,09,København
11430165.502419244,Consumer other transfers received,10,København
104096458.20201916,Consumer other transfers received,11,København
125533410.10655303,Consumer other transfers received,12,København
325893428.18906146,Consumer other transfers received,13,København
124101404.46625018,Consumer other transfers received,14,København
132365629.78799804,Consumer other transfers received,15,København
140086383.08964112,Consumer other transfers received,16,København
147134266.2711439,Consumer other transfers received,17,København
130079596.68751456,Consumer other transfers received,18,København
7668994.061623029,Consumer other transfers received,19,København
13845596.702930626,Consumer other transfers received,20,København
18124360.54383621,Consumer other transfers received,21,København
411287547.66697466,Consumer other transfers received,22,København
469119871.8391062,Consumer other transfers received,23,København
453203905.5357675,Consumer other transfers received,24,København
81132608.71716236,Consumer other transfers received,25,København
305146599.4847094,Consumer other transfers received,26,København
214300506.72546548,Consumer other transfers received,27,København
207606311.6840381,Consumer other transfers received,28,København
