cust_sector,s_foreign_,cust_muni_name
01,0.1528025693416272,København
02,0.1334992166903652,København
03,0.1373631950191188,København
04,0.1314474571953088,København
05,0.1178505468248195,København
06,0.1339836330662821,København
07,0.1064177764128774,København
08,0.0944373844048182,København
09,0.1246447744311717,København
10,0.0998034872951745,København
11,0.1279452623804376,København
12,0.1298638573324094,København
13,0.1431468140830777,København
14,0.1396629815527564,København
15,0.1421930135144273,København
16,0.1386539884888477,København
17,0.1256291606041815,København
18,0.1138801471789812,København
19,0.1319343155841481,København
20,0.1102049375285271,København
21,0.1070017746258051,København
22,0.136188381951268,København
23,0.0859512452958744,København
24,0.1257269679024486,København
25,0.1725498743037004,København
26,0.1393598459579697,København
27,0.1167652846362322,København
28,0.1064491255536641,København
01,0.1464562996978945,Frederiksberg
02,0.1271529470466325,Frederiksberg
03,0.1310169253753862,Frederiksberg
04,0.1251011875515762,Frederiksberg
05,0.1115042771810868,Frederiksberg
06,0.1276373634225495,Frederiksberg
07,0.1000715067691448,Frederiksberg
08,0.0880911147610855,Frederiksberg
09,0.118298504787439,Frederiksberg
10,0.093457217651442,Frederiksberg
11,0.121598992736705,Frederiksberg
12,0.1235175876886767,Frederiksberg
13,0.1368005444393449,Frederiksberg
14,0.1333167119090238,Frederiksberg
15,0.1358467438706946,Frederiksberg
16,0.1323077188451152,Frederiksberg
17,0.1192828909604488,Frederiksberg
18,0.1075338775352485,Frederiksberg
19,0.1255880459404154,Frederiksberg
20,0.1038586678847945,Frederiksberg
21,0.1006555049820724,Frederiksberg
22,0.1298421123075354,Frederiksberg
23,0.0796049756521418,Frederiksberg
24,0.1193806982587159,Frederiksberg
25,0.1662036046599676,Frederiksberg
26,0.1330135763142369,Frederiksberg
27,0.1104190149924995,Frederiksberg
28,0.1001028559099315,Frederiksberg
01,0.1029961788547592,Ballerup
02,0.0836928262034972,Ballerup
03,0.087556804532251,Ballerup
04,0.0816410667084409,Ballerup
05,0.0680441563379516,Ballerup
06,0.0841772425794142,Ballerup
07,0.0566113859260095,Ballerup
08,0.0446309939179503,Ballerup
09,0.0748383839443038,Ballerup
10,0.0499970968083067,Ballerup
11,0.0781388718935697,Ballerup
12,0.0800574668455414,Ballerup
13,0.0933404235962098,Ballerup
14,0.0898565910658886,Ballerup
15,0.0923866230275595,Ballerup
16,0.0888475980019799,Ballerup
17,0.0758227701173135,Ballerup
18,0.0640737566921133,Ballerup
19,0.0821279250972803,Ballerup
20,0.0603985470416593,Ballerup
21,,Ballerup
22,0.0863819914644001,Ballerup
23,0.0361448548090066,Ballerup
24,0.0759205774155807,Ballerup
25,0.1227434838168324,Ballerup
26,0.0895534554711017,Ballerup
27,0.0669588941493642,Ballerup
28,0.0566427350667962,Ballerup
01,0.1028712632485054,Brøndby
02,0.0835679105972434,Brøndby
03,0.0874318889259972,Brøndby
04,0.0815161511021872,Brøndby
05,0.0679192407316977,Brøndby
06,0.0840523269731604,Brøndby
07,0.0564864703197557,Brøndby
08,0.0445060783116965,Brøndby
09,0.07471346833805,Brøndby
10,0.0498721812020529,Brøndby
11,0.0780139562873159,Brøndby
12,0.0799325512392877,Brøndby
13,0.0932155079899561,Brøndby
14,0.0897316754596348,Brøndby
15,0.0922617074213057,Brøndby
16,0.0887226823957261,Brøndby
17,0.0756978545110598,Brøndby
18,0.0639488410858595,Brøndby
19,,Brøndby
20,0.0602736314354055,Brøndby
21,0.0570704685326834,Brøndby
22,0.0862570758581464,Brøndby
23,0.0360199392027528,Brøndby
24,0.0757956618093269,Brøndby
25,0.1226185682105786,Brøndby
26,0.0894285398648479,Brøndby
27,0.0668339785431105,Brøndby
28,0.0565178194605425,Brøndby
01,0.1057437205623742,Dragør
02,0.0864403679111123,Dragør
03,0.090304346239866,Dragør
04,0.0843886084160559,Dragør
05,0.0707916980455666,Dragør
06,0.0869247842870293,Dragør
07,0.0593589276336245,Dragør
08,0.0473785356255653,Dragør
09,0.0775859256519189,Dragør
10,0.0527446385159217,Dragør
11,0.0808864136011847,Dragør
12,0.0828050085531565,Dragør
13,0.0960879653038248,Dragør
14,0.0926041327735036,Dragør
15,0.0951341647351745,Dragør
16,0.0915951397095949,Dragør
17,0.0785703118249286,Dragør
18,0.0668212983997283,Dragør
19,,Dragør
20,0.0631460887492743,Dragør
21,0.0599429258465522,Dragør
22,0.0891295331720152,Dragør
23,0.0388923965166216,Dragør
24,0.0786681191231958,Dragør
25,0.1254910255244475,Dragør
26,0.0923009971787168,Dragør
27,0.0697064358569793,Dragør
28,0.0593902767744112,Dragør
01,0.1425801984722797,Gentofte
02,0.1232768458210179,Gentofte
03,0.1271408241497716,Gentofte
04,0.1212250863259615,Gentofte
05,0.1076281759554722,Gentofte
06,0.1237612621969348,Gentofte
07,0.0961954055435301,Gentofte
08,0.0842150135354709,Gentofte
09,0.1144224035618244,Gentofte
10,0.0895811164258272,Gentofte
11,0.1177228915110903,Gentofte
12,0.1196414864630621,Gentofte
13,0.1329244432137305,Gentofte
14,0.1294406106834092,Gentofte
15,0.13197064264508,Gentofte
16,0.1284316176195004,Gentofte
17,0.1154067897348341,Gentofte
18,0.1036577763096339,Gentofte
19,0.1217119447148009,Gentofte
20,0.0999825666591799,Gentofte
21,0.0967794037564577,Gentofte
22,0.1259660110819205,Gentofte
23,0.0757288744265271,Gentofte
24,0.1155045970331012,Gentofte
25,0.162327503434353,Gentofte
26,0.1291374750886223,Gentofte
27,0.1065429137668848,Gentofte
28,0.0962267546843168,Gentofte
01,0.1197059039581765,Gladsaxe
02,0.1004025513069145,Gladsaxe
03,0.1042665296356683,Gladsaxe
04,0.0983507918118583,Gladsaxe
05,0.0847538814413689,Gladsaxe
06,0.1008869676828315,Gladsaxe
07,0.0733211110294268,Gladsaxe
08,0.0613407190213677,Gladsaxe
09,0.0915481090477211,Gladsaxe
10,0.0667068219117239,Gladsaxe
11,0.094848596996987,Gladsaxe
12,0.0967671919489588,Gladsaxe
13,0.1100501486996271,Gladsaxe
14,0.1065663161693059,Gladsaxe
15,0.1090963481309768,Gladsaxe
16,0.1055573231053972,Gladsaxe
17,0.0925324952207309,Gladsaxe
18,0.0807834817955306,Gladsaxe
19,0.0988376502006976,Gladsaxe
20,0.0771082721450766,Gladsaxe
21,0.0739051092423545,Gladsaxe
22,0.1030917165678174,Gladsaxe
23,0.0528545799124238,Gladsaxe
24,0.092630302518998,Gladsaxe
25,0.1394532089202498,Gladsaxe
26,0.1062631805745191,Gladsaxe
27,0.0836686192527816,Gladsaxe
28,0.0733524601702136,Gladsaxe
01,0.1047940541043487,Glostrup
02,0.0854907014530868,Glostrup
03,0.0893546797818406,Glostrup
04,0.0834389419580305,Glostrup
05,0.0698420315875412,Glostrup
06,0.0859751178290038,Glostrup
07,0.058409261175599,Glostrup
08,0.0464288691675399,Glostrup
09,0.0766362591938933,Glostrup
10,0.0517949720578962,Glostrup
11,0.0799367471431592,Glostrup
12,0.0818553420951311,Glostrup
13,0.0951382988457994,Glostrup
14,0.0916544663154782,Glostrup
15,0.0941844982771491,Glostrup
16,0.0906454732515694,Glostrup
17,0.0776206453669031,Glostrup
18,0.0658716319417028,Glostrup
19,,Glostrup
20,0.0621964222912488,Glostrup
21,,Glostrup
22,0.0881798667139897,Glostrup
23,0.0379427300585961,Glostrup
24,0.0777184526651703,Glostrup
25,0.124541359066422,Glostrup
26,0.0913513307206913,Glostrup
27,0.0687567693989538,Glostrup
28,0.0584406103163858,Glostrup
01,0.103436178053418,Herlev
02,0.084132825402156,Herlev
03,0.0879968037309098,Herlev
04,0.0820810659070997,Herlev
05,0.0684841555366103,Herlev
06,0.084617241778073,Herlev
07,0.0570513851246683,Herlev
08,0.0450709931166091,Herlev
09,0.0752783831429625,Herlev
10,0.0504370960069655,Herlev
11,0.0785788710922285,Herlev
12,0.0804974660442003,Herlev
13,0.0937804227948685,Herlev
14,0.0902965902645473,Herlev
15,0.0928266222262182,Herlev
16,0.0892875972006386,Herlev
17,0.0762627693159723,Herlev
18,0.0645137558907721,Herlev
19,,Herlev
20,0.060838546240318,Herlev
21,,Herlev
22,0.0868219906630589,Herlev
23,0.0365848540076653,Herlev
24,0.0763605766142395,Herlev
25,0.1231834830154912,Herlev
26,0.0899934546697606,Herlev
27,0.067398893348023,Herlev
28,0.057082734265455,Herlev
01,0.0934614362405735,Albertslund
02,0.0741580835893115,Albertslund
03,0.0780220619180654,Albertslund
04,0.0721063240942552,Albertslund
05,0.0585094137237659,Albertslund
06,0.0746424999652286,Albertslund
07,0.0470766433118238,Albertslund
08,0.0350962513037647,Albertslund
09,0.0653036413301182,Albertslund
10,0.040462354194121,Albertslund
11,0.0686041292793841,Albertslund
12,0.0705227242313558,Albertslund
13,0.0838056809820241,Albertslund
14,0.080321848451703,Albertslund
15,0.0828518804133739,Albertslund
16,0.0793128553877942,Albertslund
17,0.0662880275031278,Albertslund
18,0.0545390140779276,Albertslund
19,0.0725931824830947,Albertslund
20,0.0508638044274736,Albertslund
21,,Albertslund
22,0.0768472488502144,Albertslund
23,0.0266101121948209,Albertslund
24,0.066385834801395,Albertslund
25,0.1132087412026468,Albertslund
26,0.0800187128569161,Albertslund
27,0.0574241515351786,Albertslund
28,0.0471079924526106,Albertslund
01,0.1057886004471015,Hvidovre
02,0.0864852477958395,Hvidovre
03,0.0903492261245933,Hvidovre
04,0.0844334883007832,Hvidovre
05,0.0708365779302939,Hvidovre
06,0.0869696641717565,Hvidovre
07,0.0594038075183518,Hvidovre
08,0.0474234155102926,Hvidovre
09,0.0776308055366461,Hvidovre
10,0.052789518400649,Hvidovre
11,0.080931293485912,Hvidovre
12,0.0828498884378838,Hvidovre
13,0.0961328451885521,Hvidovre
14,0.0926490126582309,Hvidovre
15,0.0951790446199017,Hvidovre
16,0.0916400195943222,Hvidovre
17,0.0786151917096558,Hvidovre
18,0.0668661782844556,Hvidovre
19,0.0849203466896226,Hvidovre
20,0.0631909686340015,Hvidovre
21,0.0599878057312795,Hvidovre
22,0.0891744130567424,Hvidovre
23,0.0389372764013489,Hvidovre
24,0.078712999007923,Hvidovre
25,0.1255359054091746,Hvidovre
26,0.092345877063444,Hvidovre
27,0.0697513157417066,Hvidovre
28,0.0594351566591385,Hvidovre
01,0.1019249859097159,Høje-Taastrup
02,0.082621633258454,Høje-Taastrup
03,0.0864856115872077,Høje-Taastrup
04,0.0805698737633977,Høje-Taastrup
05,0.0669729633929082,Høje-Taastrup
06,0.0831060496343709,Høje-Taastrup
07,0.0555401929809662,Høje-Taastrup
08,0.043559800972907,Høje-Taastrup
09,0.0737671909992604,Høje-Taastrup
10,0.0489259038632634,Høje-Taastrup
11,0.0770676789485264,Høje-Taastrup
12,0.0789862739004982,Høje-Taastrup
13,0.0922692306511665,Høje-Taastrup
14,0.0887853981208453,Høje-Taastrup
15,0.0913154300825161,Høje-Taastrup
16,0.0877764050569366,Høje-Taastrup
17,0.0747515771722702,Høje-Taastrup
18,0.06300256374707,Høje-Taastrup
19,0.081056732152237,Høje-Taastrup
20,0.059327354096616,Høje-Taastrup
21,,Høje-Taastrup
22,0.0853107985193568,Høje-Taastrup
23,0.0350736618639633,Høje-Taastrup
24,0.0748493844705374,Høje-Taastrup
25,0.1216722908717891,Høje-Taastrup
26,0.0884822625260585,Høje-Taastrup
27,0.065887701204321,Høje-Taastrup
28,0.055571542121753,Høje-Taastrup
01,0.1271151372919859,Lyngby-Taarbæk
02,0.1078117846407238,Lyngby-Taarbæk
03,0.1116757629694776,Lyngby-Taarbæk
04,0.1057600251456674,Lyngby-Taarbæk
05,0.0921631147751781,Lyngby-Taarbæk
06,0.1082962010166408,Lyngby-Taarbæk
07,0.0807303443632361,Lyngby-Taarbæk
08,0.0687499523551768,Lyngby-Taarbæk
09,0.0989573423815303,Lyngby-Taarbæk
10,0.0741160552455333,Lyngby-Taarbæk
11,0.1022578303307963,Lyngby-Taarbæk
12,0.104176425282768,Lyngby-Taarbæk
13,0.1174593820334364,Lyngby-Taarbæk
14,0.1139755495031151,Lyngby-Taarbæk
15,0.1165055814647861,Lyngby-Taarbæk
16,0.1129665564392064,Lyngby-Taarbæk
17,0.0999417285545401,Lyngby-Taarbæk
18,0.0881927151293399,Lyngby-Taarbæk
19,0.1062468835345069,Lyngby-Taarbæk
20,0.0845175054788858,Lyngby-Taarbæk
21,0.0813143425761637,Lyngby-Taarbæk
22,0.1105009499016267,Lyngby-Taarbæk
23,0.0602638132462331,Lyngby-Taarbæk
24,0.1000395358528073,Lyngby-Taarbæk
25,0.146862442254059,Lyngby-Taarbæk
26,0.1136724139083283,Lyngby-Taarbæk
27,0.0910778525865909,Lyngby-Taarbæk
28,0.0807616935040228,Lyngby-Taarbæk
01,0.1037215083291178,Rødovre
02,0.0844181556778558,Rødovre
03,0.0882821340066096,Rødovre
04,0.0823663961827995,Rødovre
05,0.0687694858123102,Rødovre
06,0.0849025720537728,Rødovre
07,0.0573367154003681,Rødovre
